name,under_category,web_address,statement,logo_file,status,address_line1,address_line2,city,state_province,postal_code,country_code
Organization 1,2,http://www.organization1.com,This is the statement for organization 1,1,TRUE,123 Main St Apt 1,,City 1,1,21765,GB
Organization 2,9,http://www.organization2.com,This is the statement for organization 2,1,FALSE,123 Main St Apt 2,Suite 2,City 2,1,97106,US
Organization 3,8,http://www.organization3.com,This is the statement for organization 3,1,FALSE,123 Main St Apt 3,,City 3,1,10768,GB
Organization 4,9,http://www.organization4.com,This is the statement for organization 4,1,TRUE,123 Main St Apt 4,Suite 4,City 4,1,27317,CA
Organization 5,5,http://www.organization5.com,This is the statement for organization 5,1,FALSE,123 Main St Apt 5,,City 5,1,69434,CA
Organization 6,6,http://www.organization6.com,This is the statement for organization 6,1,TRUE,123 Main St Apt 6,Suite 6,City 6,1,56563,IN
Organization 7,6,http://www.organization7.com,This is the statement for organization 7,1,TRUE,123 Main St Apt 7,,City 7,1,76993,GB
Organization 8,1,http://www.organization8.com,This is the statement for organization 8,1,TRUE,123 Main St Apt 8,Suite 8,City 8,1,47772,CA
Organization 9,4,http://www.organization9.com,This is the statement for organization 9,1,FALSE,123 Main St Apt 9,,City 9,1,24040,CA
Organization 10,6,http://www.organization10.com,This is the statement for organization 10,1,TRUE,123 Main St Apt 10,Suite 10,City 10,1,68649,CA
Organization 11,3,http://www.organization11.com,This is the statement for organization 11,1,TRUE,123 Main St Apt 11,,City 11,1,94988,US
Organization 12,7,http://www.organization12.com,This is the statement for organization 12,1,FALSE,123 Main St Apt 12,Suite 12,City 12,1,14184,US
Organization 13,6,http://www.organization13.com,This is the statement for organization 13,1,FALSE,123 Main St Apt 13,,City 13,1,35356,AU
Organization 14,4,http://www.organization14.com,This is the statement for organization 14,1,TRUE,123 Main St Apt 14,Suite 14,City 14,1,47101,IN
Organization 15,2,http://www.organization15.com,This is the statement for organization 15,1,TRUE,123 Main St Apt 15,,City 15,1,93091,CA
Organization 16,9,http://www.organization16.com,This is the statement for organization 16,1,TRUE,123 Main St Apt 16,Suite 16,City 16,1,72081,US
Organization 17,1,http://www.organization17.com,This is the statement for organization 17,1,FALSE,123 Main St Apt 17,,City 17,1,20378,CA
Organization 18,5,http://www.organization18.com,This is the statement for organization 18,1,TRUE,123 Main St Apt 18,Suite 18,City 18,1,76539,AU
Organization 19,5,http://www.organization19.com,This is the statement for organization 19,1,FALSE,123 Main St Apt 19,,City 19,1,42857,AU
Organization 20,3,http://www.organization20.com,This is the statement for organization 20,1,FALSE,123 Main St Apt 20,Suite 20,City 20,1,25068,IN
Organization 21,6,http://www.organization21.com,This is the statement for organization 21,1,TRUE,123 Main St Apt 21,,City 21,1,92696,CA
Organization 22,4,http://www.organization22.com,This is the statement for organization 22,1,TRUE,123 Main St Apt 22,Suite 22,City 22,1,35658,IN
Organization 23,6,http://www.organization23.com,This is the statement for organization 23,1,FALSE,123 Main St Apt 23,,City 23,1,24517,AU
Organization 24,1,http://www.organization24.com,This is the statement for organization 24,1,FALSE,123 Main St Apt 24,Suite 24,City 24,1,64686,US
Organization 25,9,http://www.organization25.com,This is the statement for organization 25,1,FALSE,123 Main St Apt 25,,City 25,1,81160,GB
